cells   dofs    u_L2_norm      u_H1_norm    
    64     81 4.245e-02    - 3.724e-01    - 
   133    162 1.630e-02 2.76 2.188e-01 1.54 
   265    310 9.365e-03 1.71 1.532e-01 1.10 
   529    594 4.410e-03 2.32 1.080e-01 1.08 
  1054   1147 2.437e-03 1.80 7.632e-02 1.05 
  2098   2231 1.158e-03 2.24 5.379e-02 1.05 
  4177   4362 6.121e-04 1.90 3.803e-02 1.03 
  8314   8579 2.935e-04 2.17 2.689e-02 1.02 
 16552  16921 1.547e-04 1.89 1.904e-02 1.02 
 32974  33501 7.419e-05 2.15 1.347e-02 1.01 
 65803  66538 3.885e-05 1.89 9.538e-03 1.01 
131167 132220 1.860e-05 2.15 6.746e-03 1.01 
